rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported
rg02_theta15p195_foil0	0	0	8	6	63	30	13	11	8	0
rg02_theta15p195_foil0	0	1	0	2	34	18	7	6	5	0
rg02_theta15p195_foil0	0	1	0	3	55	24	11	8	6	0
rg02_theta15p195_foil0	0	1	0	4	72	36	15	14	10	0
rg02_theta15p195_foil0	0	1	0	5	100	49	20	14	13	0
rg02_theta15p195_foil0	0	1	0	6	49	23	10	8	6	0
rg02_theta15p195_foil0	0	1	1	2	47	24	10	7	7	0
rg02_theta15p195_foil0	0	1	1	3	87	44	18	12	11	0
rg02_theta15p195_foil0	0	1	1	4	105	52	21	16	14	0
rg02_theta15p195_foil0	0	1	1	5	152	79	31	24	20	0
rg02_theta15p195_foil0	0	1	1	6	148	74	30	24	19	0
rg02_theta15p195_foil0	0	1	1	7	1	0	1	0	0	1
rg02_theta15p195_foil0	0	1	2	1	9	0	2	0	0	9
rg02_theta15p195_foil0	0	1	2	2	73	37	15	13	10	0
rg02_theta15p195_foil0	0	1	2	3	2	0	1	0	0	2
rg02_theta15p195_foil0	0	1	2	4	145	76	29	22	19	0
rg02_theta15p195_foil0	0	1	2	5	182	96	37	30	25	0
rg02_theta15p195_foil0	0	1	2	6	261	131	53	35	33	0
rg02_theta15p195_foil0	0	1	2	7	2	0	1	0	0	2
rg02_theta15p195_foil0	0	1	3	1	7	0	2	0	0	7
rg02_theta15p195_foil0	0	1	3	2	67	33	14	11	9	0
rg02_theta15p195_foil0	0	1	3	3	116	60	24	20	15	0
rg02_theta15p195_foil0	0	1	3	4	148	73	30	25	19	0
rg02_theta15p195_foil0	0	1	3	5	204	105	41	35	27	0
rg02_theta15p195_foil0	0	1	3	6	240	128	48	43	32	0
rg02_theta15p195_foil0	0	1	3	7	12	0	3	0	0	12
rg02_theta15p195_foil0	0	1	4	1	10	0	2	0	0	10
rg02_theta15p195_foil0	0	1	4	2	69	32	14	12	8	0
rg02_theta15p195_foil0	0	1	4	3	136	72	28	22	19	0
rg02_theta15p195_foil0	0	1	4	4	46	23	10	7	6	0
rg02_theta15p195_foil0	0	1	4	5	217	111	44	35	28	0
rg02_theta15p195_foil0	0	1	4	6	300	151	60	45	38	0
rg02_theta15p195_foil0	0	1	4	7	12	0	3	0	0	12
rg02_theta15p195_foil0	0	1	5	1	6	0	2	0	0	6
rg02_theta15p195_foil0	0	1	5	2	57	28	12	11	8	0
rg02_theta15p195_foil0	0	1	5	3	104	55	21	19	14	0
rg02_theta15p195_foil0	0	1	5	4	139	74	28	22	19	0
rg02_theta15p195_foil0	0	1	5	5	3	0	1	0	0	3
rg02_theta15p195_foil0	0	1	5	6	290	144	58	48	37	0
rg02_theta15p195_foil0	0	1	5	7	9	0	2	0	0	9
rg02_theta15p195_foil0	0	1	6	1	1	0	1	0	0	1
rg02_theta15p195_foil0	0	1	6	2	39	21	8	6	6	0
rg02_theta15p195_foil0	0	1	6	3	113	59	23	20	15	0
rg02_theta15p195_foil0	0	1	6	4	147	78	30	22	20	0
rg02_theta15p195_foil0	0	1	6	5	166	89	34	28	23	0
rg02_theta15p195_foil0	0	1	6	6	276	146	56	48	37	0
rg02_theta15p195_foil0	0	1	6	7	2	0	1	0	0	2
rg02_theta15p195_foil0	0	1	7	2	40	19	8	6	5	0
rg02_theta15p195_foil0	0	1	7	3	68	34	14	11	9	0
rg02_theta15p195_foil0	0	1	7	4	112	56	23	17	14	0
rg02_theta15p195_foil0	0	1	7	5	161	80	33	24	21	0
rg02_theta15p195_foil0	0	1	7	6	187	97	38	34	25	0
rg02_theta15p195_foil0	0	1	8	2	18	0	4	0	0	18
rg02_theta15p195_foil0	0	1	8	3	42	19	9	8	5	0
rg02_theta15p195_foil0	0	1	8	4	68	35	14	11	9	0
rg02_theta15p195_foil0	0	1	8	5	101	52	21	20	13	0
rg02_theta15p195_foil0	0	1	8	6	84	44	17	13	12	0
rg02_theta15p195_foil0	0	2	0	2	28	12	6	5	4	0
rg02_theta15p195_foil0	0	2	0	3	69	33	14	10	9	0
rg02_theta15p195_foil0	0	2	0	4	105	56	21	18	15	0
rg02_theta15p195_foil0	0	2	0	5	156	81	32	25	21	0
rg02_theta15p195_foil0	0	2	0	6	72	38	15	13	10	0
rg02_theta15p195_foil0	0	2	1	2	50	27	10	6	7	0
rg02_theta15p195_foil0	0	2	1	3	94	47	19	14	12	0
rg02_theta15p195_foil0	0	2	1	4	156	78	32	24	20	0
rg02_theta15p195_foil0	0	2	1	5	225	115	45	38	29	0
rg02_theta15p195_foil0	0	2	1	6	254	122	51	34	31	0
rg02_theta15p195_foil0	0	2	2	1	12	0	3	0	0	12
rg02_theta15p195_foil0	0	2	2	2	70	39	14	12	10	0
rg02_theta15p195_foil0	0	2	2	3	5	0	1	0	0	5
