rungroup	foil	ndel	xscol	yscol	status	n_dev	n_core_dev	peak_x	peak_y	center_x	center_y	peak_density	background	shift
rg01_theta12p490_foil0	0	1	6	6	accepted	1220	959	4.826194827102231	3.0004938423480123	4.8187600572604445	2.981090554597838	8.174391918675498	0.05530143761674775	0.005389313952423329
rg01_theta12p490_foil0	0	1	6	7	low_stats	9	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	1	7	2	accepted	286	226	7.189382392066696	-3.147136800609676	7.143844052322016	-3.150568710528117	1.8766378750921031	0.017818901886926974	0.01004601105256888
rg01_theta12p490_foil0	0	1	7	3	accepted	496	397	7.273781947958285	-1.6354243474233592	7.287276553716945	-1.6088691529072399	3.121230454857673	0.03720670976306481	0.00641276774214343
rg01_theta12p490_foil0	0	1	7	4	accepted	684	542	7.358181503849873	-0.07332147913083184	7.3746868805376256	-0.0947317729471362	4.563439287483526	0.051294562859409504	0.001254312837254685
rg01_theta12p490_foil0	0	1	7	5	accepted	855	685	7.358181503849873	1.4383909740554846	7.341854350537865	1.4518986461073307	5.578697174463166	0.052470558888265295	0.0015206073857294588
rg01_theta12p490_foil0	0	1	7	6	accepted	948	761	7.273781947958285	3.0004938423480123	7.3237096825150285	3.018689315454049	6.338809630731103	0.03960383100682385	0.005918384721424488
rg01_theta12p490_foil0	0	1	7	7	low_stats	0	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	1	8	2	accepted	225	191	9.552569957031166	-3.096746385503465	9.583726254971944	-3.1003114593941086	1.4573150304931735	0.008143912926063254	0.006791381696229062
rg01_theta12p490_foil0	0	1	8	3	accepted	321	260	9.552569957031166	-1.5850339323171487	9.569122380997728	-1.5905445656502424	2.204063443387433	0.018047291615694336	0.004459998386820372
rg01_theta12p490_foil0	0	1	8	4	accepted	464	367	9.636969512922754	-0.12371189423704267	9.660574144679805	-0.0998838201994033	3.096469192459615	0.03299408267685826	0.003879063548300821
rg01_theta12p490_foil0	0	1	8	5	accepted	576	465	9.72136906881434	1.4383909740554846	9.722811669520109	1.415942601336015	3.7116779324073863	0.02980522865255864	0.004498151836298538
rg01_theta12p490_foil0	0	1	8	6	accepted	509	412	9.72136906881434	2.9501034272418014	9.731252073187965	2.957400288404525	3.496021014469287	0.014789215640118685	0.0037395808338597626
rg01_theta12p490_foil0	0	1	8	7	low_stats	0	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	2	0	1	low_stats	0	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	2	0	2	accepted	299	240	-10.474257745485643	-3.1215581442287217	-10.477457531796109	-3.147523566808333	2.175523609377844	0.013123826428838985	0.00799792683756449
rg01_theta12p490_foil0	0	2	0	3	accepted	503	412	-10.30536098374372	-1.6068185256504912	-10.336289508013566	-1.6102744191289107	3.7115246159779884	0.031458601007874565	0.010250566614412945
rg01_theta12p490_foil0	0	2	0	4	accepted	716	557	-10.30536098374372	-0.09207890707226056	-10.288653498846568	-0.1049727068478085	4.982087233170864	0.04907024507614102	0.0010703046182503615
rg01_theta12p490_foil0	0	2	0	5	accepted	900	701	-10.389809364614681	1.4226607115059708	-10.406918835581854	1.3971091408974112	6.100424534913358	0.06106839116599478	0.005222605982676414
rg01_theta12p490_foil0	0	2	0	6	accepted	416	324	-10.474257745485643	2.886909009464927	-10.467713919407293	2.8852975567367602	2.7771824143223784	0.03135553137007538	0.01424293938353785
rg01_theta12p490_foil0	0	2	1	1	low_stats	1	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	2	1	2	accepted	463	356	-8.025254700227753	-3.1215581442287217	-8.007444430428848	-3.138099716712711	3.150548089077791	0.02670146240723227	0.01239650757650047
rg01_theta12p490_foil0	0	2	1	3	accepted	785	603	-7.940806319356792	-1.6068185256504912	-7.950460869880089	-1.5996378241317464	5.185010469038609	0.04185401181217416	0.005356474980487399
rg01_theta12p490_foil0	0	2	1	4	accepted	1088	827	-7.940806319356792	-0.09207890707226056	-7.927923779991312	-0.09528462392400605	7.154858248166375	0.09212720994838516	0.0013118088432039598
rg01_theta12p490_foil0	0	2	1	5	accepted	1351	1030	-7.940806319356792	1.4226607115059708	-7.926116638221401	1.4166035074558339	8.753480671685551	0.10607988750946627	0.0016936053520937645
rg01_theta12p490_foil0	0	2	1	6	accepted	1512	1192	-7.85635793848583	2.987891650703475	-7.893251476106806	2.967336208364225	9.875919339485678	0.0715019954580366	0.0012737482427454458
rg01_theta12p490_foil0	0	2	1	7	low_stats	0	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	2	2	1	accepted	80	70	-5.3229065123569805	-4.585806442187678	-5.336390647438362	-4.569275766228822	0.6235562961734643	0.004230424156925903	0.0052410641330617935
rg01_theta12p490_foil0	0	2	2	2	accepted	671	535	-5.407354893227943	-3.1720494648479964	-5.410000237934835	-3.1641107142799023	4.61050334308688	0.02657369729847044	0.002922020504099506
rg01_theta12p490_foil0	0	2	2	3	weak_peak	18	0	-5.3229065123569805	-1.6573098462697655	nan	nan	0.04596301330545116	0.02666529189162821	nan
rg01_theta12p490_foil0	0	2	2	4	accepted	1309	1038	-5.407354893227943	-0.09207890707226056	-5.388507139950004	-0.08124730584991217	8.87637529045959	0.08420445054502068	0.0026345568470007782
rg01_theta12p490_foil0	0	2	2	5	accepted	1576	1248	-5.407354893227943	1.4226607115059708	-5.379015292180667	1.418929705695943	10.665492174731115	0.1312365395980045	0.00491906333050493
