model	pool	target	n	rms	bias	spread	width68	p95	pooled_rms_gain	macro_rms	macro_gain	improved_cells	cells	worst_cell_gain	within_hole_spread	within_hole_gain	hole_centroid_rms	same_holes_rms	equal_hole_spread	improved_holes	holes	within_hole_events
all_supported_squared_equalfoil	supported	ytar	100396	0.14255100724460354	0.01044200518054676	0.1421680491329203	0.13762000876711034	0.2819120892711474	0.6375614572503796	0.1562641788713026	0.6037001397362518	19	25	-5.889276899479912	0.13404387607467222	1.039868363540064	0.04444887874722689	0.14122132818738026	0.14331313602427176	1131	1962	96548
all_supported_huber_equalfoil	supported	ytar	100396	0.1425878380556461	0.010649770393054396	0.1421895704753284	0.13728468577132344	0.28192438357903354	0.6118892486183025	0.15635470219912684	0.5461201882607458	17	25	-7.505305209404889	0.13383935575135866	1.1908589101441214	0.04504491890646451	0.14121620964757803	0.14316281791117408	1188	1962	96548
balanced_squared_full	supported	yptar	100396	1.20484721835908	-0.014173511589171996	1.2047638487092995	1.1536448877755996	2.316804924896404	0.0	1.2351868486913786	0.0	0	25	0.0	1.1679281564165547	0.0	0.28736842215622854	1.2027621496385446	1.1959387456147295	0	1962	96548
all_core_squared_full	supported	yptar	100396	1.2002969220798843	0.0007771622945397185	1.200296670483265	1.1472454522981153	2.306969101967794	0.3776658326350213	1.235823596501332	-0.0515507277808247	11	25	-5.374839377463858	1.1650717193124813	0.24457301490508065	0.2757929867284787	1.1972693442456281	1.2026319610580802	994	1962	96548
all_core_huber_full	supported	yptar	100396	1.200755674161035	0.002150799415431727	1.2007537478982924	1.1471112816597424	2.306367236740207	0.3395902929184125	1.2380304250642669	-0.23021426886959961	12	25	-8.075683500857789	1.1650682560585888	0.24486954460800625	0.27716246937772315	1.1975821791037802	1.2040854251338868	988	1962	96548
all_supported_squared_full	supported	yptar	100396	1.1900535671500612	0.0006726578065932873	1.190053377045778	1.1533537253848356	2.3073049993335273	1.2278445751127465	1.2227883993310167	1.0037711600878407	15	25	-4.819691815904603	1.1425152584220064	2.1758956537635266	0.3190642597927222	1.1862306342377866	1.1754800413980595	1116	1962	96548
all_supported_huber_full	supported	yptar	100396	1.1923745628373195	0.003072504450325768	1.1923706042241613	1.1483051483595847	2.3083583485711445	1.0352064005880623	1.2279356111380835	0.5870559228328465	16	25	-6.224923308014341	1.1490139828634276	1.619463787152775	0.30426567378290753	1.188617151591817	1.185362168763641	1098	1962	96548
all_core_squared_equalfoil	supported	yptar	100396	1.1964522257354768	-0.02544209689651681	1.1961816869409447	1.152844275151316	2.309250505626498	0.6967682288412047	1.2244476882522257	0.8694361060053946	18	25	-3.198739430515962	1.1546811806084563	1.134228653990399	0.302435171487935	1.1936312922357033	1.1906377876375567	1197	1962	96548
all_core_huber_equalfoil	supported	yptar	100396	1.1963586705129587	-0.02429595973315092	1.196111940769834	1.1515592982621274	2.3089152033879974	0.7045331322324877	1.2249438923210925	0.8292637167516936	18	25	-4.27310162212482	1.1544007318980407	1.1582411507244483	0.3027595063555033	1.1934422350894744	1.191395185728435	1176	1962	96548
all_supported_squared_equalfoil	supported	yptar	100396	1.1965395387051767	-0.027134019210725925	1.196231839020459	1.1688299706216863	2.316929636518252	0.6895214204185707	1.2180082164324806	1.3907719530124485	18	25	-5.026420446434976	1.1351520051774002	2.806349950472853	0.36838484037838265	1.1934309638512313	1.1672131398417365	1121	1962	96548
all_supported_huber_equalfoil	supported	yptar	100396	1.1936932903641724	-0.0256130247030931	1.1934184699534374	1.1611415593371541	2.3096888091618224	0.9257545541831003	1.2189541272646631	1.3141915689851569	18	25	-5.9712152668806695	1.1389334367722295	2.4825773302089904	0.34635446262627917	1.1904330250706843	1.1716066321275111	1145	1962	96548
