pool	subset	target	model	reference	comparison	metric	value	reference_value	change	percent_change
protected_core	all	ztar	enet	old	starting	cell_mse	0.4996464567246937	0.563962274511856	-0.06431581778716228	-11.404276614571707
protected_core	all	ztar	enet	core	previous	bias	0.040343284187145605	0.0514423776504103	-0.011099093463264695	
protected_core	all	ztar	enet	core	previous	spread	0.6426264765727605	0.6353284567597011	0.007298019813059442	1.1487002880810282
protected_core	all	ztar	enet	core	previous	rms	0.6438915816900587	0.6374076922872761	0.00648388940278255	1.017227981594604
protected_core	all	ztar	enet	core	previous	median	0.42243348773222644	0.4169659708761436	0.005467516856082821	1.3112621264018909
protected_core	all	ztar	enet	core	previous	p90	1.049542566512871	1.0443386084374437	0.005203958075427284	0.49830179918499695
protected_core	all	ztar	enet	core	previous	cell_mse	0.4996464567246937	0.48539520847321527	0.014251248251478443	2.936009256520067
protected_core	all	ztar	beam	old	starting	bias	0.04802347058260525	0.11774047776327959	-0.06971700718067433	
protected_core	all	ztar	beam	old	starting	spread	0.636726377320336	0.6583005872468439	-0.021574209926507937	-3.2772581924521704
protected_core	all	ztar	beam	old	starting	rms	0.6385348332724515	0.6687469501040473	-0.030212116831595748	-4.5177203166153035
protected_core	all	ztar	beam	old	starting	median	0.41767044244890394	0.4284563611553209	-0.01078591870641693	-2.5173902605467258
protected_core	all	ztar	beam	old	starting	p90	1.0448758033273553	1.076016876347491	-0.0311410730201358	-2.894106375528538
protected_core	all	ztar	beam	old	starting	cell_mse	0.4895532290514255	0.563962274511856	-0.07440904546043048	-13.193975700739212
protected_core	all	ztar	beam	enet	previous	bias	0.04802347058260525	0.040343284187145605	0.007680186395459643	
protected_core	all	ztar	beam	enet	previous	spread	0.636726377320336	0.6426264765727605	-0.005900099252424518	-0.9181226525073805
protected_core	all	ztar	beam	enet	previous	rms	0.6385348332724515	0.6438915816900587	-0.005356748417607138	-0.8319332896924991
protected_core	all	ztar	beam	enet	previous	median	0.41767044244890394	0.42243348773222644	-0.004763045283322498	-1.1275254973018844
protected_core	all	ztar	beam	enet	previous	p90	1.0448758033273553	1.049542566512871	-0.004666763185515732	-0.44464734775085946
protected_core	all	ztar	beam	enet	previous	cell_mse	0.4895532290514255	0.4996464567246937	-0.010093227673268201	-2.0200739017408043
protected_core	outside_gmm	xptar	old	old	starting	bias	-0.21253066863400288	-0.21253066863400288	0.0	
protected_core	outside_gmm	xptar	old	old	starting	spread	1.5004948606036108	1.5004948606036108	0.0	0.0
