rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported	excluded_core
rg01_theta12p490_foil0	0	4	4	4	284	38	57	46	149	0	0
rg01_theta12p490_foil0	0	4	4	5	1629	38	326	257	979	0	0
rg01_theta12p490_foil0	0	4	4	6	2364	39	473	366	1441	0	0
rg01_theta12p490_foil0	0	4	4	7	2482	39	497	378	1544	0	0
rg01_theta12p490_foil0	0	4	5	1	185	38	37	26	80	0	0
rg01_theta12p490_foil0	0	4	5	2	343	38	69	51	183	0	0
rg01_theta12p490_foil0	0	4	5	3	611	38	123	97	349	0	0
rg01_theta12p490_foil0	0	4	5	4	1009	38	202	159	567	0	0
rg01_theta12p490_foil0	0	4	5	5	13	0	3	0	0	13	0
rg01_theta12p490_foil0	0	4	5	6	2060	38	412	331	1254	0	0
rg01_theta12p490_foil0	0	4	5	7	1982	38	397	336	1229	0	0
rg01_theta12p490_foil0	0	4	6	1	103	38	21	17	26	0	0
rg01_theta12p490_foil0	0	4	6	2	301	38	61	48	152	0	0
rg01_theta12p490_foil0	0	4	6	3	490	39	98	75	280	0	0
rg01_theta12p490_foil0	0	4	6	4	793	38	159	125	459	0	0
rg01_theta12p490_foil0	0	4	6	5	1213	38	243	185	706	0	0
rg01_theta12p490_foil0	0	4	6	6	1784	38	357	286	1065	0	0
rg01_theta12p490_foil0	0	4	6	7	882	38	177	141	512	0	0
rg01_theta12p490_foil0	0	4	7	2	151	38	31	22	59	0	0
rg01_theta12p490_foil0	0	4	7	3	362	38	73	55	190	0	0
rg01_theta12p490_foil0	0	4	7	4	561	38	113	93	318	0	0
rg01_theta12p490_foil0	0	4	7	5	982	38	197	153	578	0	0
rg01_theta12p490_foil0	0	4	7	6	1491	38	299	256	914	0	0
rg01_theta12p490_foil0	0	4	7	7	4	0	1	0	0	4	0
rg01_theta12p490_foil0	0	4	8	1	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	4	8	2	9	0	2	0	0	9	0
rg01_theta12p490_foil0	0	4	8	3	230	38	46	32	93	0	0
rg01_theta12p490_foil0	0	4	8	4	396	38	80	62	195	0	0
rg01_theta12p490_foil0	0	4	8	5	686	38	138	102	361	0	0
rg01_theta12p490_foil0	0	4	8	6	64	38	13	8	0	0	0
rg02_theta15p195_foil0	0	0	0	2	29	19	6	3	0	0	0
rg02_theta15p195_foil0	0	0	0	3	41	24	9	5	0	0	0
rg02_theta15p195_foil0	0	0	0	4	53	32	11	8	0	0	0
rg02_theta15p195_foil0	0	0	0	5	44	24	9	7	0	0	0
rg02_theta15p195_foil0	0	0	0	6	21	13	5	3	0	0	0
rg02_theta15p195_foil0	0	0	1	2	44	18	9	5	0	0	0
rg02_theta15p195_foil0	0	0	1	3	64	29	13	12	0	0	0
