method	foil_z_cm	N	target	units	training_count	heldout_count	training_residual_rms	heldout_residual_rms	heldout_change_from_reference_percent
current_XTX	-8.0	190	yptar	mrad	44310	36160	1.1149811160386436	1.086136291686428	-0.29739078621232595
current_XTX	-8.0	191	xptar	mrad	44310	36160	2.2613686624322944	2.209692092244632	-0.8397824185382152
current_XTX	-8.0	191	ytar	cm	44310	36160	0.15620161522306109	0.15302313102014603	-0.674408711625385
current_XTX	-8.0	191	yptar	mrad	44310	36160	1.114946020356203	1.0860561034669496	-0.3047517175902681
current_XTX	-8.0	192	xptar	mrad	44310	36160	2.261205086456927	2.2096402569166465	-0.8421085355657776
current_XTX	-8.0	192	ytar	cm	44310	36160	0.1561662318751986	0.1529794614560533	-0.70275413395402
current_XTX	-8.0	192	yptar	mrad	44310	36160	1.114857070986022	1.0859361018201177	-0.31576734922939
current_XTX	-8.0	193	xptar	mrad	44310	36160	2.2612594394027616	2.2097831742838245	-0.8356951002843283
current_XTX	-8.0	193	ytar	cm	44310	36160	0.1561631944686552	0.15298950544487663	-0.6962346939051733
current_XTX	-8.0	193	yptar	mrad	44310	36160	1.1147542303164222	1.0858026358816384	-0.32801894454886904
current_XTX	-8.0	194	xptar	mrad	44310	36160	2.2613318642061944	2.2096584748307375	-0.8412910043217314
current_XTX	-8.0	194	ytar	cm	44310	36160	0.15620346466157742	0.153024913575404	-0.6732516750792006
current_XTX	-8.0	194	yptar	mrad	44310	36160	1.114936058233095	1.086065958447829	-0.303847073012109
current_XTX	-8.0	195	xptar	mrad	44310	36160	2.2613566199192614	2.2096374053520456	-0.842236499894955
current_XTX	-8.0	195	ytar	cm	44310	36160	0.1562374015399389	0.15306884553933023	-0.6447359319732837
current_XTX	-8.0	195	yptar	mrad	44310	36160	1.1150305649459216	1.086154503982537	-0.29571897627856947
current_XTX	-8.0	196	xptar	mrad	44310	36160	2.26134217486023	2.209823156590741	-0.8339008891056987
current_XTX	-8.0	196	ytar	cm	44310	36160	0.1563905235105201	0.1532437579136224	-0.5312022793522497
current_XTX	-8.0	196	yptar	mrad	44310	36160	1.1149457863728436	1.086030407472625	-0.30711049861996687
current_XTX	-8.0	197	xptar	mrad	44310	36160	2.261124302327753	2.209680859785252	-0.8402864766013263
current_XTX	-8.0	197	ytar	cm	44310	36160	0.15619176924146738	0.153014183663191	-0.6802163402766959
current_XTX	-8.0	197	yptar	mrad	44310	36160	1.1150178314531922	1.0861660187137572	-0.29466197380491055
current_XTX	-8.0	198	xptar	mrad	44310	36160	2.2613012797869403	2.209470323901602	-0.849734301528926
current_XTX	-8.0	198	ytar	cm	44310	36160	0.15625543516384333	0.15308995258553154	-0.6310355859516115
current_XTX	-8.0	198	yptar	mrad	44310	36160	1.114894550988605	1.0860065227216975	-0.30930301534749516
current_XTX	-8.0	199	xptar	mrad	44310	36160	2.2614594663039465	2.2099599645536654	-0.827761614127942
current_XTX	-8.0	199	ytar	cm	44310	36160	0.1560874279410654	0.15288985380323467	-0.7609174524068507
current_XTX	-8.0	199	yptar	mrad	44310	36160	1.1149256225880482	1.0860533729314223	-0.3050023689299741
current_XTX	-8.0	200	xptar	mrad	44310	36160	2.261113673957761	2.20957492342753	-0.8450403843146992
current_XTX	-8.0	200	ytar	cm	44310	36160	0.15620378458848536	0.15303622061832273	-0.6659124008391637
current_XTX	-8.0	200	yptar	mrad	44310	36160	1.1150086357111613	1.086182900662216	-0.29311228402579825
current_XTX	-8.0	201	xptar	mrad	44310	36160	2.2612700332074427	2.209538077047479	-0.8466938703708737
current_XTX	-8.0	201	ytar	cm	44310	36160	0.15622388035525964	0.15305088985091367	-0.6563907671415126
current_XTX	-8.0	201	yptar	mrad	44310	36160	1.1148464278376478	1.0859295529035462	-0.31636851141749744
current_XTX	-8.0	202	xptar	mrad	44310	36160	2.2613796456837716	2.2096222094048006	-0.8429184199871043
current_XTX	-8.0	202	ytar	cm	44310	36160	0.15612628555986546	0.15293549189091987	-0.7312942835801195
current_XTX	-8.0	202	yptar	mrad	44310	36160	1.1148722365800254	1.0859633543479585	-0.313265685161801
current_XTX	-8.0	203	xptar	mrad	44310	36160	2.2608022136625476	2.2092524821322095	-0.8595099790213334
current_XTX	-8.0	203	ytar	cm	44310	36160	0.15635318856741032	0.15320550728732413	-0.556030330176327
current_XTX	-8.0	203	yptar	mrad	44310	36160	1.1154477273212666	1.086732582627594	-0.24265385941975026
current_XTX	-8.0	204	xptar	mrad	44310	36160	2.2612295037414847	2.2097883468740305	-0.8354629796318291
current_XTX	-8.0	204	ytar	cm	44310	36160	0.15621271563575778	0.1530312607784419	-0.6691317770574856
