rungroup	foil	ndel	xscol	yscol	available	training
rg03_theta12p490_foilpm8	0	0	5	6	145	59
rg03_theta12p490_foilpm8	0	0	6	2	60	22
rg03_theta12p490_foilpm8	0	0	6	3	126	43
rg03_theta12p490_foilpm8	0	0	6	4	137	54
rg03_theta12p490_foilpm8	0	0	6	5	152	60
rg03_theta12p490_foilpm8	0	0	6	6	154	56
rg03_theta12p490_foilpm8	0	0	7	2	23	7
rg03_theta12p490_foilpm8	0	0	7	3	56	18
rg03_theta12p490_foilpm8	0	0	7	4	93	28
rg03_theta12p490_foilpm8	0	0	7	5	135	41
rg03_theta12p490_foilpm8	0	0	7	6	97	22
rg03_theta12p490_foilpm8	0	0	8	2	3	3
rg03_theta12p490_foilpm8	0	0	8	3	8	4
