pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	n	qa_low	bias	rms	p95
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	svd	yptar	34	False	-0.7390456509179086	1.3355730363878942	2.3222033780883358
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	svd	ztar	34	False	0.490254865295803	1.1789935694059155	2.0689268103309733
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	enet	xptar	26	False	0.44944578768481175	1.4555682985318994	2.291886088695937
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	enet	ytar	26	False	0.19402321903583636	0.25734780565818083	0.42235256220620443
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	enet	yptar	26	False	-0.767908293124947	1.3298252413978826	2.3580769448726038
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	enet	ztar	26	False	1.051397643895305	1.4014471545924947	2.284470896492915
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	svd	xptar	26	False	0.6881216569069839	1.4757713540871382	2.421248517435708
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	svd	ytar	26	False	0.0680897693634386	0.1933821749720691	0.31565227248085814
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	svd	yptar	26	False	-0.5170870099336266	1.1596673352802316	2.1287907450014507
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	svd	ztar	26	False	0.3768984605140162	1.0610103441494096	1.7355110922501253
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	enet	xptar	23	False	-0.6786288042233616	2.3549549116788717	4.116058860660755
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	enet	ytar	23	False	-0.09675180001989789	0.29325273043693567	0.487902191554362
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	enet	yptar	23	False	0.5396595550060882	1.662056648463975	2.711527030847349
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	enet	ztar	23	False	-0.4449421544327227	1.3209817455650315	2.192456311028289
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	svd	xptar	23	False	0.03689039272194993	2.097075650382606	3.7605386663831544
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	svd	ytar	23	False	-0.06450752355292004	0.2501482276208032	0.4290953204326215
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	svd	yptar	23	False	0.38940903059916976	1.4494885758563045	2.7553289418778015
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	svd	ztar	23	False	-0.29809435247106003	1.1261093238569955	1.9455214094410676
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	enet	xptar	35	False	-0.3244069020342287	2.4901758749008414	4.302306468458158
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	enet	ytar	35	False	0.14702757053926943	0.265697384552488	0.558450990563061
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	enet	yptar	35	False	-0.5820542338483508	1.3612322355100963	2.5764027689791957
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	enet	ztar	35	False	0.6743788040804181	1.2267467026231371	2.58039641182117
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	svd	xptar	35	False	0.7482236986244195	2.315038728963347	3.9204635150851184
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	svd	ytar	35	False	0.12742881862097694	0.24720377073877584	0.4988143861586745
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	svd	yptar	35	False	-0.5176714215828777	1.3200784681059505	2.391495389898321
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	svd	ztar	35	False	0.5847263973970254	1.1438890836746467	2.2971970566388182
training	hole	-8.0	0	rg03_theta12p490_foilpm8	4	3	enet	xptar	35	False	-0.6255093892173064	2.173344452420573	3.66277318906032
