target	fold	l1	alpha	mse	active	converged	dual_gap
xptar	2	0.5	3e-05	3.3338209395507654e-06	102	False	8.583886006536275e-05
ytar	2	0.5	3e-05	2.4138103529139095e-06	136	False	0.0019430354089488352
yptar	2	0.5	3e-05	1.1982641630221496e-06	95	False	3.5029140898047074e-05
xptar	2	0.5	1e-05	3.0614596109340457e-06	136	False	0.0004883559322939485
ytar	2	0.5	1e-05	2.3580160892509665e-06	168	False	0.004819580093765751
yptar	2	0.5	1e-05	1.1898566747961015e-06	123	False	0.0006506306227528467
xptar	2	0.9	0.1	0.00035096316498493075	3	True	7.191116707289312e-07
ytar	2	0.9	0.1	0.00011463618168886151	2	True	9.804898717328036e-08
yptar	2	0.9	0.1	3.0011441749039727e-05	3	True	2.855986320476819e-07
xptar	2	0.9	0.03	6.345946008168937e-05	8	True	9.425077648548628e-07
ytar	2	0.9	0.03	3.1256351287380065e-05	11	True	9.952725693999778e-07
yptar	2	0.9	0.03	1.0103470022868275e-05	3	True	8.697281000163422e-07
xptar	2	0.9	0.01	1.9471881435932717e-05	10	True	9.973979190613704e-07
ytar	2	0.9	0.01	1.1654106116993584e-05	18	True	9.986111441958946e-07
yptar	2	0.9	0.01	4.524948485451123e-06	12	True	9.969569955924067e-07
xptar	2	0.9	0.003	1.183628350038445e-05	18	True	9.972957767862703e-07
ytar	2	0.9	0.003	6.855471811899889e-06	30	True	9.982790384065231e-07
yptar	2	0.9	0.003	1.9420313499677435e-06	14	True	9.879510376537445e-07
xptar	2	0.9	0.001	7.222243828420085e-06	34	True	9.99181604828492e-07
ytar	2	0.9	0.001	4.34943096041314e-06	50	True	9.995561867443853e-07
yptar	2	0.9	0.001	1.5306743392927765e-06	28	True	9.707544390004518e-07
xptar	2	0.9	0.0003	5.149460804405207e-06	49	True	9.99214937296977e-07
ytar	2	0.9	0.0003	3.1141307710318085e-06	67	False	2.996192627665199e-05
yptar	2	0.9	0.0003	1.3473063979264186e-06	41	True	9.99623911883668e-07
xptar	2	0.9	0.0001	4.113454869118454e-06	65	True	9.997608669516858e-07
ytar	2	0.9	0.0001	2.571187272302142e-06	85	False	0.00019703867295177457
yptar	2	0.9	0.0001	1.2588953038780834e-06	62	True	9.994080368374113e-07
xptar	2	0.9	3e-05	3.5128944830242055e-06	82	False	3.527426971490315e-05
ytar	2	0.9	3e-05	2.415006209586696e-06	108	False	0.001118590839944515
yptar	2	0.9	3e-05	1.2037007762942303e-06	81	False	1.3266909440356886e-05
xptar	2	0.9	1e-05	3.1328236820395654e-06	113	False	0.000415375285552694
ytar	2	0.9	1e-05	2.3623078053664765e-06	149	False	0.003021616605631561
yptar	2	0.9	1e-05	1.1926177478561012e-06	104	False	0.00010782436661454753
