term	target	coefficient	standardized	active	fold_frequency
51000	ytar	-0.0	-0.0	False	0.0
51000	yptar	0.0	0.0	False	0.0
42000	xptar	40.010997708569725	0.021422783070643703	True	1.0
42000	ytar	-0.0	-0.0	False	0.0
42000	yptar	0.0	0.0	False	0.0
33000	xptar	0.0	0.0	False	0.0
33000	ytar	-0.0	-0.0	False	0.0
33000	yptar	0.0	0.0	False	0.0
24000	xptar	0.0	0.0	False	0.0
24000	ytar	0.0	0.0	False	0.0
24000	yptar	0.0	0.0	False	0.0
15000	xptar	-0.0	-0.0	False	0.0
15000	ytar	0.0	0.0	False	0.0
15000	yptar	-0.0	-0.0	False	0.0
06000	xptar	-277237.50388980965	-0.044929019915453054	True	1.0
06000	ytar	0.0	0.0	False	0.0
06000	yptar	-0.0	-0.0	False	0.0
50100	xptar	-0.0	-0.0	False	0.0
50100	ytar	-5.773249850097553	-0.17611748057148646	True	1.0
50100	yptar	1.338782478968478	0.03464967783427857	True	1.0
41100	xptar	-0.0	-0.0	False	0.0
41100	ytar	0.0	0.0	False	0.0
41100	yptar	-0.0	-0.0	False	0.0
32100	xptar	-0.0	-0.0	False	0.0
32100	ytar	138.86955642400093	0.06356381113842267	True	1.0
32100	yptar	-0.0	-0.0	False	0.6666666666666666
23100	xptar	-0.0	-0.0	False	0.0
23100	ytar	0.0	0.0	False	0.0
23100	yptar	-0.0	-0.0	False	0.0
14100	xptar	0.0	0.0	False	0.0
14100	ytar	-0.0	-0.0	False	0.0
14100	yptar	-0.0	-0.0	False	0.0
05100	xptar	25940.657621662584	0.008844162867101914	True	1.0
05100	ytar	-164872.42815817826	-0.16508607783270693	True	1.0
05100	yptar	23311.510545091853	0.01980340645857095	True	1.0
40200	xptar	-0.0	-0.0	False	0.0
40200	ytar	0.0	0.0	False	0.0
40200	yptar	-0.0	-0.0	False	0.0
31200	xptar	0.0	0.0	False	0.0
31200	ytar	0.0	0.0	False	0.0
31200	yptar	0.0	0.0	False	0.0
22200	xptar	0.0	0.0	False	0.0
22200	ytar	-0.0	-0.0	False	0.0
22200	yptar	0.0	0.0	False	0.0
13200	xptar	0.0	0.0	False	0.0
13200	ytar	-0.0	-0.0	False	0.0
13200	yptar	0.0	0.0	False	0.0
04200	xptar	-0.0	-0.0	False	0.0
04200	ytar	-0.0	-0.0	False	0.0
04200	yptar	0.0	0.0	False	0.0
30300	xptar	-0.0	-0.0	False	0.0
30300	ytar	-0.0	-0.0	False	0.0
30300	yptar	0.0	0.0	False	0.0
21300	xptar	0.0	0.0	False	0.0
21300	ytar	0.0	0.0	False	0.0
21300	yptar	-0.0	-0.0	False	0.0
12300	xptar	0.0	0.0	False	0.0
12300	ytar	-0.0	-0.0	False	0.0
12300	yptar	-0.0	-0.0	False	0.0
03300	xptar	0.0	0.0	False	0.0
03300	ytar	-774.5201980357214	-0.007997290255194725	True	1.0
03300	yptar	-0.0	-0.0	False	0.0
20400	xptar	-13.970958839557019	-0.013536464477828143	True	1.0
20400	ytar	6.679446442201608	0.019006676031935052	True	1.0
20400	yptar	-0.0	-0.0	False	0.3333333333333333
11400	xptar	0.0	0.0	False	0.0
11400	ytar	-0.0	-0.0	False	0.0
11400	yptar	0.0	0.0	False	0.0
02400	xptar	262.08062391150236	0.003596924258360119	True	1.0
02400	ytar	-1685.71179425123	-0.06794638722869241	True	1.0
02400	yptar	358.1403706005405	0.012247385641943836	True	1.0
10500	xptar	-0.0	-0.0	False	0.0
10500	ytar	-6.239192775001984	-0.0104900421200395	True	1.0
10500	yptar	6.843575381540931	0.009762003359735918	True	1.0
01500	xptar	0.0	0.0	False	0.0
01500	ytar	-62.86608325998582	-0.012102550271423602	True	1.0
01500	yptar	0.0	0.0	False	0.0
00600	xptar	-0.0	-0.0	False	0.0
00600	ytar	10.2601906123458	0.010109446675009758	True	1.0
00600	yptar	-5.34913418711488	-0.004471595590347478	True	1.0
50010	xptar	0.0	0.0	False	0.0
50010	ytar	0.0	0.0	False	0.0
50010	yptar	-0.0	-0.0	False	0.0
41010	xptar	-0.0	-0.0	False	0.0
41010	ytar	0.0	0.0	False	0.0
41010	yptar	-0.0	-0.0	False	0.0
32010	xptar	-0.0	-0.0	False	0.0
32010	ytar	2176.560984799978	0.11598773773532647	True	1.0
32010	yptar	-104.56381921051376	-0.00472748048970451	True	0.6666666666666666
23010	xptar	-0.0	-0.0	False	0.0
23010	ytar	13808.474097684286	0.0937068758946985	True	1.0
23010	yptar	-2483.0806384088414	-0.014296300326343072	True	1.0
14010	xptar	-0.0	-0.0	False	0.0
14010	ytar	0.0	0.0	False	0.0
14010	yptar	-0.0	-0.0	False	0.0
05010	xptar	0.0	0.0	False	0.0
05010	ytar	0.0	0.0	False	0.0
05010	yptar	0.0	0.0	False	0.0
40110	xptar	-0.0	-0.0	False	0.0
40110	ytar	0.0	0.0	False	0.0
40110	yptar	-0.0	-0.0	False	0.0
31110	xptar	0.0	0.0	False	0.0
31110	ytar	-0.0	-0.0	False	0.0
31110	yptar	0.0	0.0	False	0.0
22110	xptar	6755.548770304819	0.04535692530364259	True	1.0
22110	ytar	-0.0	-0.0	False	0.0
22110	yptar	0.0	0.0	False	0.0
13110	xptar	0.0	0.0	False	0.0
13110	ytar	-0.0	-0.0	False	0.0
13110	yptar	0.0	0.0	False	0.0
04110	xptar	-0.0	-0.0	False	0.0
04110	ytar	-0.0	-0.0	False	0.0
04110	yptar	0.0	0.0	False	0.0
30210	xptar	0.0	0.0	False	0.0
30210	ytar	0.0	0.0	False	0.0
30210	yptar	-0.0	-0.0	False	0.0
21210	xptar	0.0	0.0	False	0.0
21210	ytar	0.0	0.0	False	0.0
21210	yptar	-0.0	-0.0	False	0.0
12210	xptar	0.0	0.0	False	0.0
12210	ytar	0.0	0.0	False	0.0
12210	yptar	-0.0	-0.0	False	0.0
03210	xptar	0.0	0.0	False	0.0
03210	ytar	-0.0	-0.0	False	0.0
03210	yptar	-0.0	-0.0	False	0.0
20310	xptar	-0.0	-0.0	False	0.0
20310	ytar	70.02469634429728	0.0227964171000553	True	1.0
20310	yptar	-1.407984497784115	-0.00038888420431905634	True	0.3333333333333333
11310	xptar	0.0	0.0	False	0.0
11310	ytar	-0.0	-0.0	False	0.0
11310	yptar	0.0	0.0	False	0.0
